Category,SubCategory,CatID,CatShort,Synonyms,Category_zh,SubCategory_zh,Synonyms_zh,Category_tw,SubCategory_tw,Synonyms_tw
AIR,BLOW,AIRBlow,AIR,"Aerate, Aerosol, Air, Airhose, Balloon, Beat, Bellows, Blast, Blow, Blower, Blowgun, Blown, Blowpipe, Blows, Blowtube, Bluff, Carbon, CO2, Compressed, Depressurize, Dioxide, Duster, Exhaust, Flutter, Gust, Helium, Huff, Inflate, Nitrogen, Oxygen, Puff, Puffed, Purge, Release, Sputter, Vent, Waft, Whiff",气体,吹,"稳定的气流,气压释放,释放,吹气,喷射,颤动",氣體,吹,"穩定的氣流,氣壓釋放,釋放,吹氣,噴射,顫動"
AIR,BURST,AIRBrst,AIR,"Air, Airbed, Airblast, Airgun, Airhose, Blast, Blowhole, Blowout, Burst, Carbon, Chuff, CO2, Dioxide, Discharge, Explosion, Flash, Gas, Helium, Jet, Kerboom, Nitrogen, Outburst, Oxygen, Poof, Pop, Rush, Seal, Spurt, Surge, Torrent",气体,爆发,"空气爆炸,空气爆破,噗噗,喷射,气爆",氣體,爆發,"空氣爆炸,空氣爆破,噗噗,噴射,氣爆"
AIR,HISS,AIRHiss,AIR,"Carbon, CO2, Dioxide, Discharge, Exhaust, Expel, Helium, Hissing, Leak, Nitrogen, Oxygen, Purr, Release, Shush, Sibilate, Whistling",气体,嘶嘶声,"放气,排气, 漏气,排出",氣體,嘶嘶聲,"放氣,排氣, 漏氣,排出"
AIR,MISC,AIRMisc,AIR,"Airtight, Airway, Carbon, CO2, Dioxide, Gas, Helium, Inflatable, Intake, Miscellaneous, Nitrogen, Oxygen, Sky, Ventilation",气体,其它,"各种各样的, 其他空气声音",氣體,其它,"各種各樣的, 其他空氣聲音"
AIR,SUCTION,AIRSuck,AIR,"Air, Aspirate, Aspiration, Carbon, CO2, Consume, Dental, Dioxide, Draw, Helium, Hoover, Ingest, Inspiration, Inspire, Intake, Nitrogen, Oxygen, Pull, Pump, Pumps, Siphon, Suck, Suction, Syphon, Syringe, Vac, Vacuity, Vacuum",气体,抽吸,"吸气, 吸入,吸尘器",氣體,抽吸,"吸氣, 吸入,吸塵器"
AIRCRAFT,DOOR,AERODoor,AERO,"Airplane, Aviation, Boarding, Cabin, Cargo, Cockpit, Emergency, Entrance, Entryway, Exit, Fuselage, Hatch, Helicopter, Jet, Panel, Passenger, Ports, Trapdoor, Wing",航空器,门,"驾驶舱门,飞机门,舱门,紧急出口",航空器,門,"駕駛艙門,飛機門,艙門,緊急出口"
AIRCRAFT,HELICOPTER,AEROHeli,AERO,"Aerochopper, Aircraft, Apache, Autogiro, Autogyro, Bird, Blackhawk, Chopper, Choppers, Copter, Copters, Ghetto, Gyrocopter, Gyroplane, Heli, Helichopper, Helicopter, Helicopteron, Helicoptor, Helijet, Helipad, Helipilot, Heliport, Helo, Helos, Huey, Jetcopter, Lift, Medevac, Medivac, Multirotor, Ornithopter, Police, Rotary-Wing, Rotodyne, Rotorcraft, Sar, Sikorsky, Skyhook, Tailwheel, Tiltrotor, Tricopter, Vertical, VTOL, Whirlybird",航空器,直升机,"旋翼机, 直升机, ",航空器,直升機,"旋翼機, 直升機,"
AIRCRAFT,INTERIOR,AEROInt,AERO,"737, 747, 777, A310, A330, A350, A380, Aboard, Aeroplane, Airbus, Aircraft, Airliner, Airplane, Aisle, Avionics, Bay, Belly, Bins, Boeing, Bombardier, Bowels, Cabin, Cargo, Cockpit, Compartment, Crew, DC-10, Deck, Fighter, Flight, Fuselage, Galley, Glider, Hold, Inside, Interior, Jet, Jetliner, Jumbo, Lavatory, Learjet, Midflight, Flight, Overhead, Passenger, Zeppelin",航空器,航空舱,"飞机,飞机内部录音,复杂环境音, 客机,驾驶舱内部, 滑翔机, 齐柏林飞艇, 喷气客机, 大型喷气式飞机, 里尔喷气机, 空中客车, 波音, 庞巴迪 737, 747, 777, A310, DC-10, A330, A350, A380, 战斗机",航空器,航空艙,"飛機,飛機內部錄音,複雜環境音, 客機,駕駛艙內部, 滑翔機, 齊柏林飛艇, 噴氣客機, 大型噴氣式飛機, 里爾噴氣機, 空中客車, 波音, 龐巴迪 737, 747, 777, A310, DC-10, A330, A350, A380, 戰鬥機"
AIRCRAFT,JET,AEROJet,AERO,"737, 747, 777, A310, A330, A350, A380, Aeroplane, Afterburner, Airbus, Aircraft, Airliner, Airplane, Boeing, Bombardier, Cargo, Commercial, DC-10, Jet, Jetliner, Jumbo, Learjet, Passenger, Plane, Private, Ramjet, Regional, Scramjet, Supersonic, Turbojet, Twinjet, Unducted",航空器,喷气式飞机,"客机, 喷气客机, 大型喷气式飞机, 里尔喷气机, 空中客车公司, 波音, 庞巴迪, 737, 747, 777, A310, DC-10, A330, A350, A380",航空器,噴氣式飛機,"客機, 噴氣客機, 大型噴氣式飛機, 里爾噴氣機, 空中客車公司, 波音, 龐巴迪, 737, 747, 777, A310, DC-10, A330, A350, A380"
AIRCRAFT,MECHANISM,AEROMech,AERO,"Actuators, Aerofoil, Aeroplane, Aileron, Ailerons, Airbrake, Aircraft, Airplane, Apron, Arrester, Autopilot, Avionics, Bombsight, Brakes, Cockpit, Column, Control, Cowl, Cowling, Devices, Doors, Elevator, Elevators, Fin, Flap, Flaps, Flight, Gear, Gimbals, Gyroscope, Hook, Hydraulic, Instrument, Landing, Lever, Pedal, Propellers, Reversers, Rudder, Slats, Spoilers, Surfaces, Systems, Throttle, Thrust, Turbines, Yoke",航空器,机械,"起落架,驾驶舱操纵杆,方向舵,襟翼,起落架",航空器,機械,"起落架,駕駛艙操縱桿,方向舵,襟翼,起落架"
