Category,SubCategory,CatID,CatShort,Synonyms - Comma Separated,Category_zh,SubCategory_zh,Synonyms_zh,Category_tw,SubCategory_tw,Synonyms_tw,Category_ja,SubCategory_ja,Synonyms_ja
AIR,BLOW,AIRBlow,AIR,"compressed air, depressurise, release, puff, sputter, flutter, purge",气体,吹,"稳定的气流,气压释放,释放,吹气,喷射,颤动",氣體,吹,"穩定的氣流,氣壓釋放,釋放,吹氣,噴射,顫動",空気,吹く,"圧縮空気,減圧,放出,パフ,スパッタ,フラッター,パージ"
AIR,BURST,AIRBrst,AIR,"air blast, air poof, chuff, spurt, blast",气体,爆发,"空气爆炸,空气爆破,噗噗,喷射,气爆",氣體,爆發,"空氣爆炸,空氣爆破,噗噗,噴射,氣爆",空気,バースト、爆発,"エアブラスト,エアパフ,シュッ,スパート,ブラスト"
AIR,HISS,AIRHiss,AIR,"air release, exhaust, expel, leak",气体,嘶嘶声,"放气,排气, 漏气,排出",氣體,嘶嘶聲,"放氣,排氣, 漏氣,排出",空気,シュー、シッ、漏れる,"エアリリース,排気,排出,リーク"
AIR,MISC,AIRMisc,AIR,miscellaneous,气体,其它,"各种各样的, 其他空气声音",氣體,其它,"各種各樣的, 其他空氣聲音",空気,その他,雑多な
AIR,SUCTION,AIRSuck,AIR,"vacuum, suck, suction",气体,抽吸,"吸气, 吸入,吸尘器",氣體,抽吸,"吸氣, 吸入,吸塵器",空気,吸う、吸引,"真空,吸引,吸引"
AIRCRAFT,DOOR,AERODoor,AIR,"cockpit door, aircraft door, hatch, emergency exit",航空器,门,"驾驶舱门,飞机门,舱门,紧急出口",航空器,門,"駕駛艙門,飛機門,艙門,緊急出口",航空機、飛行機,ドア,"コックピットドア,航空機のドア,ハッチ,非常口"
AIRCRAFT,HELICOPTER,AEROHeli,AERO,"gyrocopter, whirlybird, chopper, ghetto bird, bellcopter, police chopper, huey, chopper, blackhawk",航空器,直升机,"旋翼机, 直升机, ",航空器,直升機,"旋翼機, 直升機,",航空機、飛行機,ヘリコプター,"ジャイロコプター,ホーリーバード,チョッパー,ゲットーバード,ベルコプター,ポリスチョッパー,ヒューイ,チョッパー,ブラックホーク"
AIRCRAFT,INTERIOR,AEROInt,AERO,"jet, airplane, aircraft, passenger jet, glider, zeppelin, airliner, jetliner, jumbo jet, learjet, airbus, boeing, bombardier, 737, 747, 777, A310, DC-10, A310, A330, A350, A380, fighter jet",航空器,航空舱,"飞机,飞机内部录音,复杂环境音, 客机,驾驶舱内部, 滑翔机, 齐柏林飞艇, 喷气客机, 大型喷气式飞机, 里尔喷气机, 空中客车, 波音, 庞巴迪 737, 747, 777, A310, DC-10, A330, A350, A380, 战斗机",航空器,航空艙,"飛機,飛機內部錄音,複雜環境音, 客機,駕駛艙內部, 滑翔機, 齊柏林飛艇, 噴氣客機, 大型噴氣式飛機, 里爾噴氣機, 空中客車, 波音, 龐巴迪 737, 747, 777, A310, DC-10, A330, A350, A380, 戰鬥機",航空機、飛行機,内部,"ジェット機,飛行機,航空機,旅客機,グライダー,ツェッペリン,旅客機,ジェットライナー,ジャンボジェット,ラージェット,エアバス,ボーイング,ボンバルディア,737,747,777,A310,DC-10,A310,A330,A350,A380,ファイタージェット"
AIRCRAFT,JET,AEROJet,AERO,"airliner, jetliner, jumbo jet, learjet, airbus, boeing, bombardier, 737, 747, 777, A310, DC-10, A310, A330, A350, A380",航空器,喷气式飞机,"客机, 喷气客机, 大型喷气式飞机, 里尔喷气机, 空中客车公司, 波音, 庞巴迪, 737, 747, 777, A310, DC-10, A330, A350, A380",航空器,噴氣式飛機,"客機, 噴氣客機, 大型噴氣式飛機, 里爾噴氣機, 空中客車公司, 波音, 龐巴迪, 737, 747, 777, A310, DC-10, A330, A350, A380",航空機、飛行機,ジェット,"旅客機,ジェット旅客機,ジャンボジェット,ラージェット,エアバス,ボーイング,ボンバルディア,737,747,777,A310,DC-10,A310,A330,A350,A380"
AIRCRAFT,MECHANISM,AEROMech,AERO,"landing gear, cockpit lever, rudder, flap",航空器,机械,"起落架,驾驶舱操纵杆,方向舵,襟翼,起落架",航空器,機械,"起落架,駕駛艙操縱桿,方向舵,襟翼,起落架",航空機、飛行機,機械,"ランディングギア,コックピットレバー,ラダー,フラップ"
AIRCRAFT,MILITARY,AEROMil,AERO,"fighter jet, bomber, stealth bomber, blue angels, thunderbirds, lockheed, mig, F18, F16, F35, F22, A10, P52",航空器,军用,"战斗机,轰炸机,隐形轰炸机,蓝天使特技飞行队,雷鸟,军用无人机, 洛克希德,米格,F18,F16,F35,F22,A10,P52, 军用飞机",航空器,軍用,"戰鬥機,轟炸機,隱形轟炸機,藍天使特技飛行隊,雷鳥,軍用無人機, 洛克希德,米格,F18,F16,F35,F22,A10,P52, 軍用飛機",航空機、飛行機,軍用機,"戦闘機,爆撃機,ステルス爆撃機,ブルーエンジェル,サンダーバード,ロッキード,ミグ,F18,F16,F35,F22,A10,P52"
AIRCRAFT,MISC,AEROMisc,AERO,"blimp, glider, hot air balloon, ultralight, hang glider, zeppelin, dirigible",航空器,其它,"飞艇, 滑翔机, 热气球, 超轻型, 悬挂式滑翔机, 齐柏林飞艇, 飞船, 其他种类的飞机",航空器,其它,"飛艇, 滑翔機, 熱氣球, 超輕型, 懸掛式滑翔機, 齊柏林飛艇, 飛船, 其他種類的飛機",航空機、飛行機,その他,"飛行船,グライダー,熱気球,ウルトラライト,ハンググライダー,ツェッペリン,ディリブル（飛空艇"
AIRCRAFT,PROP,AEROProp,AERO,"biplane, triplane, turboprop, stunt plane, crop duster, piper cub, propeller, twin-prop, propjet, airscrew",航空器,螺旋桨飞机,"双翼飞机,三翼飞机,涡轮螺旋桨飞机,特技飞机,作物喷粉器,农用飞机,螺旋桨,双螺旋桨,螺旋桨喷气发动机,螺旋桨",航空器,螺旋槳飛機,"雙翼飛機,三翼飛機,渦輪螺旋槳飛機,特技飛機,作物噴粉器,農用飛機,螺旋槳,雙螺旋槳,螺旋槳噴氣發動機,螺旋槳",航空機、飛行機,プロペラ,"複葉機,三葉機,ターボプロップ,スタント機,クロップダスター,パイパーカブ,プロペラ,ツインプロップ,プロペラジェット,エアスクリュー"
AIRCRAFT,RADIO CONTROLLED,AERORadio,AERO,"quadcopters, uav, unmanned aerial vehicle, rc jet, rc helicopter, drone",航空器,塔台,"四轴飞行器, 无人机, 无人驾驶飞行器, 遥控直升机",航空器,塔台,"四軸飛行器, 無人機, 無人駕駛飛行器, 遙控直升機",航空機、飛行機,無線、通信,"クアッドコプター,UAV,無人航空機,RCジェット,RCヘリ"
AIRCRAFT,ROCKET,AERORckt,AERO,"rocket, missile, jetpack, space shuttle, spacex, nasa, icbm, nuclear rocket, warhead",航空器,火箭,"火箭, 导弹, 喷气背包, 航天飞机, SpaceX, 美国航空航天局, 洲际导弹, 核火箭, 推进器",航空器,火箭,"火箭, 導彈, 噴氣背包, 航天飛機, SpaceX, 美國航空航天局, 洲際導彈, 核火箭, 推進器",航空機、飛行機,ロケット,"ロケット,ミサイル,ジェットパック,スペースシャトル,スペースX,NASA,ICCBM,核ロケット,核弾頭"
ALARMS,BELL,ALRMBell,ALRM,"fire bell, school bell, railroad crossing bell, alarm bell",警报,警铃,"火铃,校铃,铁路道口铃, 平交道警铃,雪橇铃",警報,警鈴,"火鈴,校鈴,鐵路道口鈴, 平交道警鈴,雪橇鈴",アラーム,ベル,"火災報知器,学校の鐘,踏切の鐘,警笛"
ALARMS,BUZZER,ALRMBuzr,ALRM,"door buzzer, game show buzzer, front door buzzer, entry buzzer, intercom buzzer",警报,蜂鸣器,"门铃,游戏节目蜂鸣器",警報,蜂鳴器,"門鈴,遊戲節目蜂鳴器",アラーム,ブザー,"ドアブザー,ゲームショーのブザー,玄関ブザー,玄関ブザー,インターホンブザー"
ALARMS,CLOCK,ALRMClok,ALRM,"digital alarm clock, alarm clock, alarm clock",警报,钟表,"数字闹钟,闹钟",警報,鐘錶,"數字鬧鐘,鬧鐘",アラーム,クロック,"デジタル目覚まし時計,目覚まし時計,目覚まし時計"
ALARMS,ELECTRONIC,ALRMElec,ALRM,"fire detector, smoke detector, CO2 detector, car alarm, home alarm",警报,电器,"火灾探测器,家庭防盗报警器, 二氧化碳报警器, 报警器系统",警報,電器,"火災探測器,家庭防盜報警器, 二氧化碳報警器, 報警器系統",アラーム,電子,"火災探知機,煙探知機,CO2探知機,自動車用警報機,家庭用警報機"
ALARMS,MISC,ALRMMisc,ALRM,miscellaneous,警报,其它,"各种各样的, 其他种类的警报",警報,其它,"各種各樣的, 其他種類的警報",アラーム,その他,雑多
ALARMS,SIREN,ALRMSirn,ALRM,"klaxon, ahooga horn, air raid siren, tornado siren",警报,警报,"空袭警报器,汽笛, 车辆鸣笛, 警车警笛, 救护车警笛",警報,警報,"空襲警報器,汽笛, 車輛鳴笛, 警車警笛, 救護車警笛",アラーム,サイレン,"クラクション,ホーガ?ホーン,空襲サイレン,竜巻サイレン"
AMBIENCE,AIR,AMBAir,AMB,"desert, winter, quiet air, night air, mountain air, night air",环境,空气,"沙漠,冬天,安静的空气,夜间空气,山间空气,房屋外空气",環境,空氣,"沙漠,冬天,安靜的空氣,夜間空氣,山間空氣,房屋外空氣",アンビエンス,空気,"砂漠,冬,静かな空気,夜の空気,山の空気,夜の空気"
AMBIENCE,ALPINE,AMBAlpn,AMB,"alps, mountains, rockies, tetons, mountaineering, mountainous, snowcapped, mountainside, peak",环境,高山,"山,落基山脉,群山,雪山,山腰,山峰",環境,高山,"山,落基山脈,群山,雪山,山腰,山峰",アンビエンス,高山,"アルプス,山,ロッキー山脈,テトン山脈,登山,山岳地帯,雪山,山腹,頂上"
